book_id,chap_num,doc_str,term_count
1,1,subject book man chains master others slave change i question i i account force effects people yoke shakes liberty right justification order right basis rights right nature conventions i i,23
1,2,societies one family children father preservation need bond children obedience father father care children family convention liberty results nature man law preservation cares years discretion judge means master family model societies ruler father people children liberty advantage difference family love father children care state pleasure place love chief cannot peoples denies power favour slavery example method reasoning fact method none tyrants race belongs men men race book alternative view hobbes species herds cattle ruler guard purpose shepherd nature flock shepherds men rulers nature peoples emperor caligula kings gods men beasts reasoning caligula hobbes grotius aristotle men means slavery others dominion aristotle effect cause nothing man slavery slavery everything chains desire servitude comrades ulysses condition slaves nature slaves nature force slaves cowardice condition i nothing adam emperor father monarchs universe children saturn scholars trust thanks moderation descendant princes branch verification titles king race case doubt adam sovereign world robinson crusoe island inhabitant empire advantage monarch throne rebellions wars conspirators inquiries right history abuses infatuation essay interests france relation neighbours marquis dargenson grotius treatise plutarchs animals reason,149
1,3,right strongest master strength right obedience duty hence right meant principle explanation phrase force power effect act necessity act prudence sense duty suppose moment exists result mass force creates effect cause force impunity disobedience right thing matters kind right force perforce need obligation word right nothing connection nothing powers yield precept i power god sickness doctor brigand edge wood purse compulsion i conscience bound pistol power force powers case question recurs,57
1,4,slavery man authority force right conventions basis authority men individual grotius liberty slave master people king passage plenty words word alienate man slave subsistence people king subjects subsistence kings nothing subjects persons condition king goods despot subjects tranquillity wars ambition avidity conduct ministers harder dissensions tranquillity miseries tranquillity dungeons places greeks cave cyclops turn man act illegitimate fact mind people people madmen madness man children men liberty belongs one right years discretion father name conditions preservation wellbeing conditions gift ends nature rights paternity order government generation people position government liberty man rights humanity duties everything indemnity renunciation mans liberty morality acts convention side absolute authority obedience obligation person right everything condition absence equivalence exchange nullity act right slave right right mine phrase devoid grotius rest find war origin right slavery victor right latter life price liberty convention advantage parties right means state war men fact independence relations state peace state war cannot enemies war relation things persons state war cannot relations relations war war man man state nature property state everything authority laws combats duels encounters acts state wars establishments ix king france peace god abuses feudalism system principles right polity war relation man man state state individuals men citizens soldiers members country defenders state enemies states men things nature relation principle conformity rules times practice peoples declarations war intimations powers subjects foreigner people kills subjects war prince enemy brigand war prince hands country lives goods individuals rights object war destruction state side right defenders arms enemies instruments enemy men life one state members war right gaining principles grotius authority poets nature reality reason right conquest foundation right war conqueror right right right one right enemy slave right right exchange price liberty life victor circle right life death right slavery right slavery right life death right everybody slave war people obligation master equivalent life victor favour profit authority addition force state war relation effect usage right war treaty peace convention convention state war continuance question right slavery void illegitimate words contradict man man people convention expense advantage i i romans right war nation earth scruples head citizen volunteer enemy enemy name legion cato service popilius elder cato son oath arms enemy cato son care battle oath i siege clusium events laws customs romans people laws people ones,376
1,5,convention i friends despotism difference multitude society individuals man master slaves people ruler i aggregation association man question world interest others interest man empire unity oak heap ashes fire people grotius king people people gift act implies deliberation act people king people act foundation society convention election obligation minority choice majority men master right behalf ten law majority voting something convention unanimity occasion,55
1,6,compact men point obstacles way preservation state nature power resistance resources disposal individual maintenance state condition race manner existence men forces ones means formation aggregation sum forces resistance play means power cause sum forces persons force liberty man instruments selfpreservation interests care difficulty bearing subject terms problem form association force person goods associate problem contract solution clauses contract nature act modification forth violation rights liberty liberty favour clauses understood alienation associate rights community place conditions one interest others alienation reserve union associate anything individuals rights point judge state nature association man nobody associate right others gains equivalent everything increase force preservation essence terms person power direction capacity member part place personality party act association body members assembly votes act unity identity life person union persons name city republic body members state passive sovereign power others name people citizens power subjects laws state terms precision meaning word times people town city townsman citizen houses town city mistake cost carthaginians i title citizens subjects prince ancient macedonians english today liberty name citizens dictionaries idea crime lèsemajesté name virtue bodin citizens townsmen blunder class m dalembert error article geneva orders men counting foreigners town writer knowledge meaning word citizen,169
1,7,sovereign formula act association undertaking public individuals individual contract capacity member sovereign individuals member state maxim right one undertakings case difference obligation whole part attention fact deliberation competent subjects sovereign capacities cannot reason sovereign nature body sovereign law capacity position individual contract kind law body peoplenot contract body cannot enter undertakings others contract relation body sanctity contract outsider anything derogatory act instance part sovereign violation act selfannihilation nothing nothing multitude body members body body members duty interest parties help men capacity advantages capacity sovereign individuals interest contrary power guarantee subjects body members sovereign virtue case relation subjects sovereign interest security undertakings fidelity fact individual man general citizen interest interest absolute existence cause contribution loss harm others payment person state persona ficta man rights citizenship duties continuance injustice undoing body order compact formula undertaking force rest general body nothing condition citizen country dependence key working machine undertakings abuses,120
1,8,state passage state nature state change man justice instinct conduct actions morality voice duty place impulses right appetite man principles reason inclinations state advantages nature gains return others faculties ideas feelings soul abuses condition moment animal intelligent man account terms man contract liberty right everything gains liberty proprietorship mistake liberty strength individual liberty possession effect force right occupier property title man state liberty master impulse appetite obedience law ourselves i head meaning word liberty concern,74
1,9,property member community moment foundation resources command goods act possession hands nature property hands sovereign forces city possession fact rate point view foreigners state relation members goods contract state basis rights relation powers right occupier members right right right right property man right everything act proprietor thing everything share right community right occupier state nature claims respect man society right right occupier plot ground conditions land man amount subsistence place possession ceremony labour cultivation sign proprietorship others default title right occupancy necessity labour right foot plot ground order master man strength others moment order right man people territory rest world usurpation others act place habitation means subsistence nature nuñez balbao seashore possession seas whole america name crown castille inhabitants princes world ceremonies king possession apartment universe reservation possession princes lands individuals territory right sovereignty subjects lands possessors forces command fidelity advantage monarchs king persians scythians macedonians rulers men masters country day kings france spain land inhabitants fact alienation goods individuals community possession changes right enjoyment possessors depositaries good rights members state aggression forces cession benefits public paradox distinction rights sovereign proprietor estate men anything tract country share scale acquisition right individual estate right community stability tie force exercise sovereignty chapter book fact whole system i inequality substitutes inequality nature men equality men strength intelligence convention right book ii,192
1,10,sovereignty deduction principles state object good clashing interests establishment societies agreement interests element interests tie point agreement society basis interest society i sovereignty nothing exercise sovereign power reality point agreement nature partiality guarantee agreement effect art chance sovereign i man tomorrow i future anything good people people moment master sovereign moment body commands rulers pass wills sovereign opposition case silence consent people governments equality pauper poverty man position fact laws use nothing state men something none,67
1,11,sovereignty sovereignty reason body people part case act sovereignty law theorists sovereignty principle divide object force power executive power rights taxation justice war administration power treaty sections sovereign pieces man bodies eyes arms feet nothing besides jugglers japan child eyes spectators members air child tricks theorists body illusion worthy error lack notions authority parts emanations example acts war peace acts sovereignty case acts law application law act law idea word law divisions manner sovereignty illusion rights part sovereignty subordinate wills execution obscurity lack exactness decisions writers right principles judgment rights kings peoples chapters iv book grotius man translator barbeyrac entangle tie sophistries fear interests refugee france illcontent country court xiii book spares pains peoples rights kings artifice taste barbeyrac translation i england expulsion james abdication reserve order writers principles difficulties truth court people truth road people ambassadorships professorships pensions votemust exclusion breach generality,114
