term_str,n,p,i,n_chars,h,max_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
the,41075,0.0599722587239013,4.059560879995783,3,0.24346103540053554,DT,{'DT'},1,the,the,the
of,31825,0.0464666374653234,4.4276609410445,2,0.20573851576688743,IN,{'IN'},1,of,of,of
and,22465,0.032800408818805665,4.930142393309782,3,0.16171068603548586,CC,{'CC'},1,and,and,and
to,22072,0.03222660242371149,4.95560409336731,2,0.1597022828862655,TO,{'TO'},1,to,to,to
that,13160,0.019214483866257848,5.701661966097979,4,0.10955449185844562,IN,"{'RB', 'VBN', 'VB', 'DT', 'IN', 'WDT'}",1,that,that,that
in,13046,0.019048036209665643,5.714213921537282,2,0.10884455368721765,IN,{'IN'},1,in,in,in
is,12333,0.01800700832238283,5.795297677435489,2,0.10435597350826674,VBZ,{'VBZ'},1,is,is,is
a,10271,0.014996349832092276,6.05924480371881,1,0.09086655479485457,DT,{'DT'},1,a,a,a
it,9760,0.01425025551175354,6.132868402270334,2,0.08739494175231195,PRP,{'PRP'},1,it,it,it
be,7731,0.011287779237844941,6.469094512139806,2,0.07302171072178835,VB,{'VB'},1,be,be,be
as,7317,0.010683311432325888,6.548497291203242,2,0.0699596359756667,IN,"{'RB', 'VBN', 'VB', 'NN', 'IN'}",1,as,as,as
or,6771,0.009886114761279019,6.66038063080759,2,0.06584528726996378,CC,{'CC'},1,or,or,or
which,6695,0.009775149656884217,6.676665494508909,5,0.06526540441777946,WDT,{'WDT'},1,which,which,which
by,6364,0.009291867425901592,6.749815714389535,2,0.0627183927673748,IN,{'IN'},1,by,by,by
not,6236,0.009104978829026136,6.779128622022798,3,0.0617238225827627,RB,{'RB'},1,not,not,not
for,6076,0.008871368082931815,6.816627680218499,3,0.06047281323551993,IN,{'IN'},1,for,for,for
but,5557,0.008113593225288363,6.945443309770094,3,0.05635250178477502,CC,{'CC'},1,but,but,but
are,5482,0.008004088188056651,6.965047221894808,3,0.05574885219802502,VBP,{'VBP'},1,are,are,ar
they,5003,0.007304716016936779,7.09695609772788,4,0.05184124887856999,PRP,{'PRP'},1,they,they,they
their,4259,0.006218426047598189,7.329234820170245,5,0.04557630471471028,PRP$,{'PRP$'},1,their,their,their
have,4230,0.006176084099868594,7.339091886713271,4,0.045326848709004434,VBP,"{'VBP', 'NN', 'JJ', 'VB'}",1,have,have,hav
he,4141,0.0060461381223536285,7.369770347350704,2,0.04455864945010843,PRP,{'PRP'},1,he,he,he
them,4019,0.005868009928456709,7.412912972661838,4,0.0434990469223652,PRP,{'PRP'},1,them,them,them
his,3936,0.0057468243539202804,7.443019329381342,3,0.04277372474878809,PRP$,{'PRP$'},1,hi,his,his
all,3753,0.005479632063074901,7.511705259833606,3,0.04116138099015261,DT,"{'RB', 'PDT', 'VB', 'VBP', 'DT'}",1,all,all,al
this,3614,0.005276682727405461,7.566153043855983,4,0.039924189079421114,DT,{'DT'},1,thi,this,thi
we,3597,0.005251861585632939,7.572955390585203,2,0.03977211350552631,PRP,{'PRP'},1,we,we,we
from,3521,0.005140896481238137,7.603764322857451,4,0.03909016525154196,IN,{'IN'},1,from,from,from
i,3223,0.004705796466637466,7.731345361661037,1,0.03638213768525847,NN,"{'RB', 'VBN', 'VBD', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'IN', 'FW', 'VBG', 'NNS'}",1,i,i,i
any,3220,0.004701416265148197,7.732688861718604,3,0.03635458918781414,DT,{'DT'},1,ani,ani,any
one,3192,0.004660534384581691,7.745288898498236,3,0.03609718522996988,CD,"{'PRP', 'NN', 'CD'}",0,one,one,on
so,3024,0.004415243101182654,7.82329141049951,2,0.03454173342874948,RB,"{'RB', 'VBN', 'VB', 'VBP', 'IN', 'NNS'}",1,so,so,so
no,2974,0.004342239743028179,7.847344902668164,2,0.0340750529136153,DT,"{'RB', 'UH', 'DT', 'VB'}",1,no,no,no
with,2947,0.004302817929624763,7.860502489596582,4,0.033822311048096264,IN,{'IN'},1,with,with,with
ideas,2618,0.0038224558329683165,8.031284452775342,5,0.03069923010273886,NNS,"{'RB', 'VBN', 'VB', 'VBP', 'VBZ', 'JJ', 'IN', 'RP', 'NNS'}",0,idea,idea,idea
man,2493,0.0036399474375821287,8.101866667229082,3,0.029490368815012557,NN,{'NN'},0,man,man,man
our,2489,0.003634107168929771,8.104183319739546,3,0.029451470700586554,PRP$,{'PRP$'},1,our,our,our
other,2449,0.003575704482406191,8.127556776156604,5,0.02906174119551398,JJ,{'JJ'},1,other,other,oth
there,2401,0.0035056212585778948,8.156114146490166,5,0.028592247139323828,EX,"{'RB', 'VBN', 'EX', 'VB'}",1,there,there,ther
men,2342,0.003419477295955614,8.192008474219367,3,0.028012386985869116,NNS,{'NNS'},0,men,men,men
if,2342,0.003419477295955614,8.192008474219367,2,0.028012386985869116,IN,{'IN'},1,if,if,if
those,2149,0.00313768433347934,8.316084067292799,5,0.026093246693841766,DT,{'DT'},1,those,those,thos
what,2108,0.0030778215797926706,8.343874683083367,4,0.025680957558679718,WP,"{'WDT', 'VBN', 'WP', 'VB'}",1,what,what,what
will,2100,0.0030661410424879547,8.349360222167098,4,0.025600316055702885,MD,{'MD'},1,will,will,wil
may,1999,0.0029186742590159146,8.420471077975956,3,0.02457661218407641,MD,{'MD'},0,may,may,may
such,1993,0.002909913856037378,8.424807839881524,4,0.024515465067723577,JJ,"{'VB', 'JJ', 'PDT'}",1,such,such,such
on,1975,0.002883632647101767,8.437896896768756,2,0.02433179496440107,IN,{'IN'},1,on,on,on
at,1948,0.00284421083369835,8.45775587263824,2,0.024055640881733526,IN,{'IN'},1,at,at,at
when,1892,0.002762447072565338,8.499837461381187,4,0.023480351112473655,WRB,{'WRB'},1,when,when,when
can,1855,0.0027084245875310265,8.528330363212417,3,0.02309833964631192,MD,{'MD'},1,can,can,can
was,1851,0.0027025843188786683,8.53144465485001,3,0.02305694854157887,VBD,{'VBD'},1,wa,was,was
an,1810,0.002642721565191999,8.563759852750016,2,0.022631632841987923,DT,{'DT'},1,an,an,an
being,1797,0.0026237406920718354,8.574159141210641,5,0.022496370239094062,VBG,{'VBG'},1,be,be,being
more,1768,0.0025813987443422397,8.597631275329151,4,0.02219391457845224,RBR,"{'RBR', 'JJR', 'VBD'}",1,more,more,mor
power,1689,0.0024660534384581692,8.663580221919197,5,0.021364851795622024,NN,{'NN'},0,power,power,pow
him,1676,0.0024470725653380054,8.674727401021231,3,0.02122768743482491,PRP,{'PRP'},1,him,him,him
than,1657,0.002419331289239305,8.691175947499131,4,0.021026833910068713,IN,{'IN'},1,than,than,than
were,1604,0.0023419477295955615,8.738075408265662,4,0.020464115863422574,VBD,{'VBD'},1,were,were,wer
same,1576,0.0023010658490290555,8.763482015264206,4,0.020165349183904786,JJ,{'JJ'},1,same,same,sam
has,1569,0.002290845378887429,8.769904197752485,3,0.020090494504706746,VBZ,{'VBZ'},1,ha,has,has
these,1483,0.0021652796028617314,8.851230952265952,5,0.019165389841159886,DT,{'DT'},1,these,these,thes
idea,1443,0.0021068769163381513,8.890678250229385,4,0.01873156477599796,NN,{'NN'},0,idea,idea,ide
god,1402,0.002047014162651482,8.93226320070996,3,0.018284469276383945,NN,"{'RB', 'PDT', 'VBN', 'VBD', 'VB', 'VBP', 'VBZ', 'NN', 'JJ', 'FW', 'VBG', 'NNS'}",0,god,god,god
who,1386,0.00202365308804205,8.948822292583369,3,0.01810931186672587,WP,{'WP'},1,who,who,who
without,1373,0.0020046722149218866,8.962417924573481,7,0.01796671019191034,IN,{'IN'},0,without,without,without
would,1313,0.0019170681851365162,9.026882633827695,5,0.017305149508272395,MD,{'MD'},0,would,would,would
another,1303,0.0019024675135056212,9.037912466152449,7,0.017194334856762507,DT,{'DT'},0,anoth,anoth,anoth
