term_str,n,p,i,n_chars,h,max_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,dfidf
the,41075,0.0599722587239013,4.059560879995783,3,0.2434610354005355,DT,{'DT'},1,the,the,the,0.0
of,31825,0.0464666374653234,4.4276609410445,2,0.2057385157668874,IN,{'IN'},1,of,of,of,0.0
and,22465,0.0328004088188056,4.930142393309782,3,0.1617106860354858,CC,{'CC'},1,and,and,and,0.0
to,22072,0.0322266024237114,4.95560409336731,2,0.1597022828862655,TO,{'TO'},1,to,to,to,0.0
that,13160,0.0192144838662578,5.701661966097979,4,0.1095544918584456,IN,"{'RB', 'VBN', 'VB', 'DT', 'IN', 'WDT'}",1,that,that,that,1.4387460515330017
in,13046,0.0190480362096656,5.714213921537282,2,0.1088445536872176,IN,{'IN'},1,in,in,in,0.0
is,12333,0.0180070083223828,5.795297677435489,2,0.1043559735082667,VBZ,{'VBZ'},1,is,is,is,1.4387460515330017
a,10271,0.0149963498320922,6.05924480371881,1,0.0908665547948545,DT,{'DT'},1,a,a,a,2.8695651673515075
it,9760,0.0142502555117535,6.132868402270334,2,0.0873949417523119,PRP,{'PRP'},1,it,it,it,2.8695651673515075
be,7731,0.0112877792378449,6.469094512139806,2,0.0730217107217883,VB,{'VB'},1,be,be,be,2.8695651673515075
as,7317,0.0106833114323258,6.548497291203242,2,0.0699596359756667,IN,"{'RB', 'VBN', 'VB', 'NN', 'IN'}",1,as,as,as,2.8695651673515075
or,6771,0.009886114761279,6.66038063080759,2,0.0658452872699637,CC,{'CC'},1,or,or,or,8.512689011584946
which,6695,0.0097751496568842,6.676665494508909,5,0.0652654044177794,WDT,{'WDT'},1,which,which,which,2.8695651673515075
by,6364,0.0092918674259015,6.749815714389535,2,0.0627183927673748,IN,{'IN'},1,by,by,by,4.292413551786179
not,6236,0.0091049788290261,6.779128622022798,3,0.0617238225827627,RB,{'RB'},1,not,not,not,7.114020502540746
for,6076,0.0088713680829318,6.816627680218499,3,0.0604728132355199,IN,{'IN'},1,for,for,for,4.292413551786179
