term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
the,-0.12624721,-0.084265895,0.027006617,0.07174657,-0.18169059,0.0118484,-0.09052529,0.08309635,-0.06521171,0.011590681,0.08112106,-0.0013934314,-0.05766602,-0.025188062,-0.03170209,0.06817438,0.062724285,0.06384211,-0.09411797,-0.053480897,0.00088496413,-0.03175467,0.14269282,-0.099296406,-0.032603707,-0.044005066,-0.072392434,0.10152929,-0.04490222,-0.052234653,-0.026505278,-0.11645587,-0.00599281,-0.15364997,0.062490698,-0.0053735026,0.1166759,-0.122981034,0.017126193,-0.037040085,-0.021038713,-0.018075082,-0.07172614,-0.05360853,-0.071594596,-0.06254762,-0.17745124,0.084787644,-0.044537473,0.106505476,-0.18977028,0.053064365,0.07985304,0.10412961,0.055418488,-0.09945015,0.2131527,-0.0043563037,-0.17250627,0.3034335,0.13451256,0.041594185,0.059133634,-0.07259986,-0.020940859,-0.013792823,0.15651344,0.001689884,0.0432569,0.09814745,0.042746607,0.1498171,-0.17173058,-0.21971938,0.07956104,-0.039599214,-0.051440768,0.111800745,-0.013944209,-0.31992328,-0.019076768,-0.067785576,0.090875976,0.06220339,-0.19453895,0.05298659,-0.032354828,0.017747086,0.008408331,0.03747391,-0.14742069,-0.11108478,-0.10410944,0.09132709,-0.0470242,-0.020278672,-0.1422711,-0.11298017,0.08529265,0.0067262
of,0.03912552,0.017461829,0.04078229,0.01631549,0.07370484,-0.06886145,-0.006519066,-0.023516918,-0.045813583,-0.11208104,-0.1469677,0.014600825,-0.052082807,0.09520306,0.14857234,0.16217496,0.14811425,0.122528225,-0.11284014,-0.072122335,-0.020507928,-0.08301446,0.028507555,-0.25922963,0.0031983184,-0.10479344,-0.18131827,0.011986941,-0.08375289,0.2011243,0.11273281,-0.12651214,-0.06789829,-0.17952915,-0.013053009,-0.109498635,-0.16583295,0.114943996,0.09625218,0.032050747,0.038051084,-0.06712284,-0.11076589,0.11898817,0.0542723,0.06587187,0.061951946,-0.0037598538,0.005260748,0.020227768,-0.039842345,-0.045619432,0.2567032,0.16143301,-0.02987406,0.12563188,0.13472629,0.15753622,-0.026730202,0.11516161,0.0008997308,0.04666118,-0.17443596,0.07772822,-0.0019612284,0.08027209,0.08152296,-0.10990022,0.07321272,0.011953606,-0.05577549,-0.12247304,0.022527438,-0.11404234,0.048537795,-0.11190535,-0.15238813,-0.0213051,0.10004301,-0.12815268,-0.11133447,0.12130866,0.09109419,0.20952146,-0.10112898,0.07217025,0.053305026,-0.010833002,0.055700205,-0.103333905,0.014242429,-2.2934122e-05,-0.06502695,-0.11520736,-0.107902735,0.13052748,-0.008877726,-0.02213721,0.021257289,0.020276345
and,-0.058646515,0.042488497,-0.035851482,-0.028747614,0.21016383,-0.14300057,-0.16920406,0.16020809,0.03202173,-0.06610781,-0.1484254,-0.076861314,0.086622275,0.02775984,0.16826245,-0.10999359,-0.03615409,0.033222713,-0.05207848,-0.028498204,-0.13703349,-0.088747844,-0.06377194,-0.001013528,0.04050918,-0.00408594,-0.054367185,0.12595417,0.021675019,0.10324154,0.13934898,-0.17606752,-0.21150707,0.021179939,-0.08568396,0.110632196,-0.13820788,0.059380528,0.08549938,-0.024310216,-0.17892487,0.011512622,-0.16804284,-0.006453368,0.07613546,-0.016238244,-0.13808124,-0.18572727,-0.06653504,-0.07972728,-0.03913766,-0.13802701,-0.09160775,-0.061397597,-0.017002909,-0.0816032,0.09640372,-0.03851242,-0.09377102,0.037082184,-0.13014556,-0.14417402,0.11316607,0.012993701,0.058317427,0.04189971,0.28914085,-0.019259352,-0.057704534,-0.0076827933,-0.021313597,0.06491513,0.009308091,-0.060253367,0.03564992,0.1897889,-0.0488725,-0.109659895,-0.06491281,-0.15254815,-0.068271674,-0.05752596,0.13626459,0.05046598,-0.10747673,-0.07450461,-0.059017487,-0.005045825,0.10134213,0.12048004,-0.11185824,-0.007702519,-0.021651663,0.021902585,0.060744092,0.062308386,-0.016874364,-0.07140408,0.20613742,-0.10965115
to,-0.108300425,0.009443304,-0.047362898,0.06019222,0.13922971,-0.053709287,-0.08362453,0.15000317,0.19009912,-0.14258431,-0.0053361347,0.08680033,0.029907934,-0.22001597,0.13924855,-0.051120803,0.07188562,-0.21320547,-0.072141156,0.30498633,-0.18462285,-0.053683132,0.122691736,0.13903518,-0.14131783,0.08106749,-0.0066080815,-0.0023338536,0.14740068,-0.033818945,0.005509381,-0.011180006,-0.047112636,-0.08989999,0.07258706,-0.006315216,-0.002833768,-0.10176143,-0.09068303,0.07769791,-0.044760577,0.09606051,0.1424174,-0.042364296,0.14930716,-0.028399916,-0.060005937,-0.19400044,0.035101507,-0.06781806,0.0002979801,-0.033938855,-0.08098415,-0.011100166,-0.10264817,-0.030348,0.080474816,0.017102601,0.2049679,-0.13497739,-0.048378386,0.07106895,0.19287345,0.08823179,-0.019615605,-0.1196186,0.025787717,0.11308309,-0.077355765,-0.049658097,0.08040103,-0.078260474,0.071881495,0.15740144,-0.006109182,-0.10752366,-0.12427816,-0.035078898,-0.1373151,0.012386794,-0.08934518,0.07573324,0.14011775,-0.066989966,-0.022356367,-0.10156342,0.06079891,0.051995113,-0.03825407,-0.011019326,-0.0077009,0.0017923175,-0.10265587,0.0034451103,0.08419581,-0.010490891,0.06758949,-0.032554764,-0.18525617,-0.04707693
that,-0.19045655,0.009248848,-0.10631961,-0.101678625,0.06579503,0.061944503,-0.06387408,0.038054336,0.041062113,-0.04962275,0.048055567,-0.10887007,-0.1950246,-0.17759395,0.0065066335,-0.14648332,-0.009755005,-0.17300476,0.012786176,-0.14383757,-0.18232405,-0.080332026,0.2887624,-0.063944004,-0.119691886,0.014183124,-0.041587424,-0.08030643,-0.048467543,-0.041829072,-0.02122007,-0.01628068,0.1874828,0.0823107,0.03710818,-0.006540863,-0.077132985,0.06780016,0.06328291,0.06413783,-0.007059515,-0.014530556,0.093884654,-0.04584352,0.057354696,-0.1301719,0.11340339,0.07443273,-0.073840536,0.07730059,0.10342104,0.039006438,0.053497076,-0.019951034,-0.085823156,-0.11217757,-0.062385004,-0.021639308,0.049134675,-0.045692068,0.08672779,-0.038399715,0.12834369,0.06978831,-0.06580033,-0.032532718,0.029299235,0.07798121,-0.28193185,0.07918277,0.018058743,0.021937039,0.046000857,0.05360723,-0.02356292,-0.071739025,-0.15566987,-0.0075708977,-0.04424067,-0.17078517,-0.22373976,0.0026161792,-0.12134781,0.0826882,-0.02877769,-0.029873345,0.09867771,-0.0294731,-0.18916161,-0.18003635,-0.062104985,-0.1492389,-0.07989466,0.12841482,0.03256824,-0.0704935,0.081156015,-0.08352315,-0.17157508,0.017187754
in,-0.21995598,-0.003771869,-0.005835493,-0.2271834,0.13077241,-0.016146637,-0.10905518,-0.060312845,-0.1126798,0.0074274703,-0.088381186,0.085534066,-0.08510869,-0.0072139036,-0.02696196,-0.0044466555,-0.01071305,-0.0011058046,-0.11277704,0.15423316,-0.15751356,0.0054191714,0.08123511,-0.033488013,0.05990342,-0.15567675,-0.12552626,-0.03656493,-0.0878035,0.045235224,0.16247527,-0.11973561,-0.086285196,-0.25161558,0.003295108,0.12626317,-0.06256125,0.15054408,0.07170137,0.03708876,0.036159996,-0.21439122,-0.19382901,0.074751504,0.13041411,0.05194197,0.013464852,0.006184546,0.053847563,0.042869177,0.05925678,-0.09179927,0.12734775,0.17012995,-0.07353286,0.04778404,0.2293121,0.0609201,-0.05194414,-0.022495516,0.07787689,0.050099462,0.0069314507,-0.07187421,-0.003331151,0.03360836,0.089416675,0.027422868,-0.03929197,0.026643703,0.091565736,-0.014474566,0.04918507,0.094331585,0.17413095,-0.012937452,-0.16629589,0.114132635,0.027803488,-0.12924568,0.046114758,-0.18439244,0.061212532,0.053091913,-0.17708766,0.04937373,-0.026961057,0.06820695,0.0747529,-0.013621214,0.07757179,-0.051102392,0.0088900095,0.09847947,-0.039583888,0.18374556,0.043177687,-0.079911485,0.0061729667,-0.15235974
is,0.09253283,-0.11300064,0.10651905,0.012487908,0.03627071,-0.08131536,0.0995363,0.062263973,0.0039601545,-0.030286139,0.023243029,-0.03198025,0.044276267,0.15224557,-0.030078223,0.04099719,0.1529568,-0.01820108,0.09407467,-0.19016485,0.044486396,-0.01788015,0.11975718,-0.017503217,-0.03628834,0.083579704,-0.08794425,-0.023774873,-0.030695671,-0.08753744,0.08600417,0.29626948,-0.10866117,-0.12400608,-0.072163835,-0.019644748,-0.1520013,-0.16289681,-0.09876387,-0.051453635,0.2641395,-0.14076999,0.07943239,-0.08597829,0.03126038,0.16261156,-0.14599028,-0.11910061,-8.9456575e-05,-0.122184545,-0.12987131,-0.1416798,-0.068277195,-0.021726562,-0.057393085,-0.19854884,-0.04793927,-0.19420119,-0.0956369,0.017411387,0.07982019,-0.054038584,0.05132577,-0.0035556068,0.021865679,-0.0007291733,-0.10177192,0.053373907,-0.092697226,-0.11343372,0.07997835,0.087919176,0.051681805,0.2116077,0.04603113,-0.09747983,0.06352629,0.09603524,0.03375362,0.057274982,0.15636255,0.020608189,-0.22020835,0.088654235,-0.14781626,-0.047699504,0.12786606,-0.11243472,0.030147407,0.0050147874,0.09486711,0.013999155,0.06587481,-0.044571746,-0.016565368,0.06646282,0.051423173,0.017491436,0.021166109,-0.046016645
a,0.083218105,-0.18133572,0.14179422,0.21228062,-0.06393439,0.010535905,-0.14625838,0.045721106,-0.07212202,-0.028022882,0.067349,0.14621508,-0.037425593,0.07088439,0.010654406,-0.0010366867,0.045364328,-0.117932536,-0.11212151,-0.1691997,0.00095249736,0.05457596,0.17699736,-0.22086968,0.0076793595,0.094560504,0.023700394,0.1401136,-0.13775758,0.111571915,-0.18829782,-0.0027853977,0.11687246,0.06738159,0.10266217,-0.012802534,-0.08946417,-0.08316024,-0.025698293,0.063614085,0.010367409,-0.14560126,-0.0065523516,-0.0064897425,0.16579829,-0.17941715,-0.09421824,-0.07990819,0.12251269,-0.049740147,-0.13227357,0.12672235,0.07830072,-0.030299865,-0.037704967,-0.055633225,-0.11820598,-0.041325755,0.09973975,0.044935767,0.1657441,-0.08631879,-0.061678585,0.099121764,-0.092454925,-0.028921232,-0.07917035,0.013883811,-0.18263343,0.05094981,0.039478447,0.16630146,-0.017538842,0.008022776,-0.06524752,0.055194043,0.07457347,-0.16393493,2.0297151e-05,-0.053160463,0.002665926,-0.13745591,-0.13043006,0.08454302,0.027828386,0.105963334,-0.12476733,-0.12860523,0.04288818,0.0082709715,-0.062637135,0.03618818,-0.08620329,-0.07076995,-0.1840129,-0.057963304,-0.09255059,-0.15502137,0.04736982,-0.07832478
it,0.0023870945,0.079677075,0.08688926,0.24948585,-0.0080859,0.11651285,0.102281846,0.11154825,0.018406793,0.11256541,-0.009535917,-0.06645343,0.107078016,-0.06940162,0.023335634,-0.1028324,-0.15037179,-0.060813382,0.03848396,-0.028915515,0.05834566,0.08692404,0.21421537,-0.097987615,0.09510762,0.13921939,-0.00056847266,-0.15370502,0.09309822,-0.07730851,-0.030036347,0.07862436,0.30393696,0.08271906,0.10886944,0.10716417,0.06014345,-0.054837156,3.4182674e-05,-0.1294484,-0.089533515,-0.026639286,0.19365402,-0.09220436,-0.053726953,-0.15100878,-0.038856238,-0.10298721,-0.0134227965,-0.115082905,-0.0042715417,0.08862757,-0.0947554,-0.14992867,-0.054051276,-0.07695428,-0.17598633,0.07549219,-0.02394324,-0.060452852,-0.01686785,0.0718938,0.074546754,-0.014908669,-0.17145981,-0.112207346,-0.015101401,0.21084821,-0.17551851,0.10991252,-0.08826775,0.09648699,0.031150458,0.101636246,0.019753167,-0.06627158,0.13537565,-0.013260462,-0.101942606,0.19776438,-0.1069731,-0.1255033,0.012376366,0.07576831,0.02149814,0.044376466,0.03280123,-0.029011345,-0.04684917,0.055465765,0.021387238,-0.12367527,-0.0028977771,-0.0558902,0.13654342,-0.0020302744,-0.0033290335,0.08041813,-0.049234726,0.03787593
be,0.042717982,-0.16639705,-0.11440974,0.15481792,-0.0032356605,-0.13230309,-0.08455946,0.0448288,-0.08985171,0.0440682,0.042671673,-0.121215925,-0.012882988,0.033406664,-0.03728606,-0.03219007,-0.06742494,-0.2262637,0.23395891,-0.19673069,0.0428348,0.102252774,0.022560488,0.022081034,0.2377384,-0.058472898,-0.019922428,0.012353494,-0.050320793,0.017028235,0.115784965,0.081559084,0.1307967,0.13816337,-0.0907774,0.1453534,-0.070212916,0.045057613,-0.017613703,0.049715944,0.101370424,0.042045824,0.0391812,0.11326582,-0.10229714,0.10280794,-0.024616256,0.018097777,-0.036000546,0.09994262,0.09237943,-0.01513748,0.03830356,0.00071312033,0.033311315,-0.07383637,-0.25605863,-0.062446747,-0.09834908,-0.013465799,-0.13589042,0.22683561,0.10711156,-0.05950816,-0.16605088,0.018467464,-0.15422945,-0.06578534,-0.08532017,-0.022532504,0.05710482,0.13776265,0.066180795,-0.008970328,0.08326769,-0.028238023,0.13937822,0.011803246,0.14446783,0.14233688,-0.067781314,-0.086684756,-0.15799208,0.1293083,0.030228455,-0.002376209,-0.0956665,-0.08481652,0.01996883,0.122509025,-0.011546323,0.15737267,-0.086710535,0.018280013,0.09560418,-0.050858017,-0.009244015,0.023763616,0.15515739,-0.0075842757
as,0.015535183,-0.08347972,0.116461,-0.13099262,0.04173805,-0.04689277,-0.10295837,-0.0004446408,-0.124007724,-0.10367695,0.15659718,-0.060625695,0.0120350635,-0.064239495,0.056234505,0.02520985,0.085241556,-0.03658147,-0.011038608,0.053154048,-0.032784462,-0.0808577,0.24830534,-0.0999428,-0.072127834,0.025948238,-0.101255745,0.015424848,0.0629603,0.07326463,-0.12207396,-0.06348243,0.18727468,0.1873145,0.13595349,0.09364822,-0.0076725585,0.13735414,0.0588002,0.027773848,-0.16145924,-0.06820325,-0.049198095,0.20795365,-0.07087965,-0.08201667,-0.02502478,0.0006690096,-0.09635748,-0.041527297,0.11432875,0.040668048,0.17403233,-0.056504145,0.0039149933,0.15069577,-0.10175685,0.12736821,0.047656175,0.007097262,-0.14524995,-0.07822605,-0.03788805,0.055152424,-0.055188224,0.09944583,-0.14828509,-0.08578065,0.16107842,0.06338101,0.0065539335,0.12682225,0.06471944,0.0998491,0.12997606,0.15561211,0.024717418,-0.17129724,-0.05487745,0.033597197,0.0056368075,0.042822655,0.117698155,0.12911813,-0.106994726,0.04750938,-0.11658451,0.029137518,0.087553896,-0.014406453,0.24038392,0.0121242935,-0.07312679,0.05474054,-0.14485212,-0.05554941,0.105747454,-0.03255173,0.0023918913,-0.22158216
