chap_num,para_num,sent_num,token_num,token_str,term_str
1,0,0,0,SUBJECT,subject
1,0,0,1,OF,of
1,0,0,2,THE,the
1,0,0,3,FIRST,first
1,0,0,4,BOOK,book
1,1,0,0,Man,man
1,1,0,1,is,is
1,1,0,2,born,born
1,1,0,3,free,free
1,1,1,0,,
1,1,1,1,and,and
1,1,1,2,everywhere,everywhere
1,1,1,3,he,he
1,1,1,4,is,is
1,1,1,5,in,in
1,1,1,6,chains,chains
1,1,2,0,,
1,1,2,1,One,one
1,1,2,2,thinks,thinks
1,1,2,3,himself,himself
1,1,2,4,the,the
1,1,2,5,master,master
1,1,2,6,of,of
1,1,2,7,others,others
1,1,2,8,and,and
1,1,2,9,still,still
1,1,2,10,remains,remains
1,1,2,11,a,a
1,1,2,12,greater,greater
1,1,2,13,slave,slave
1,1,2,14,than,than
1,1,2,15,they,they
1,1,3,0,,
1,1,3,1,How,how
1,1,3,2,did,did
1,1,3,3,this,this
1,1,3,4,change,change
1,1,3,5,come,come
1,1,3,6,about,about
1,1,4,0,,
1,1,4,1,I,i
1,1,4,2,do,do
1,1,4,3,not,not
1,1,4,4,know,know
1,1,5,0,,
1,1,5,1,What,what
1,1,5,2,can,can
1,1,5,3,make,make
1,1,5,4,it,it
1,1,5,5,legitimate,legitimate
1,1,6,0,,
1,1,6,1,That,that
1,1,6,2,question,question
1,1,6,3,I,i
1,1,6,4,think,think
1,1,6,5,I,i
1,1,6,6,can,can
1,1,6,7,answer,answer
1,1,7,0,,
1,2,0,0,If,if
1,2,0,1,I,i
1,2,0,2,took,took
1,2,0,3,into,into
1,2,0,4,account,account
1,2,0,5,only,only
1,2,0,6,force,force
1,2,0,7,and,and
1,2,0,8,the,the
1,2,0,9,effects,effects
1,2,0,10,derived,derived
1,2,0,11,from,from
1,2,0,12,it,it
1,2,0,13,I,i
1,2,0,14,should,should
1,2,0,15,say,say
1,2,1,0,,
1,2,1,1,"""As","""as"
1,2,1,2,long,long
1,2,1,3,as,as
1,2,1,4,a,a
1,2,1,5,people,people
1,2,1,6,is,is
1,2,1,7,compelled,compelled
1,2,1,8,to,to
1,2,1,9,obey,obey
1,2,1,10,and,and
1,2,1,11,obeys,obeys
1,2,1,12,it,it
1,2,1,13,does,does
1,2,1,14,well,well
1,2,2,0,,
1,2,2,1,as,as
1,2,2,2,soon,soon
1,2,2,3,as,as
1,2,2,4,it,it
1,2,2,5,can,can
1,2,2,6,shake,shake
1,2,2,7,off,off
1,2,2,8,the,the
1,2,2,9,yoke,yoke
1,2,2,10,and,and
1,2,2,11,shakes,shakes
1,2,2,12,it,it
1,2,2,13,off,off
1,2,2,14,it,it
1,2,2,15,does,does
1,2,2,16,still,still
1,2,2,17,better,better
1,2,3,0,,
1,2,3,1,for,for
1,2,3,2,regaining,regaining
1,2,3,3,its,its
1,2,3,4,liberty,liberty
1,2,3,5,by,by
1,2,3,6,the,the
1,2,3,7,same,same
1,2,3,8,right,right
1,2,3,9,as,as
1,2,3,10,took,took
1,2,3,11,it,it
1,2,3,12,away,away
1,2,3,13,either,either
1,2,3,14,it,it
1,2,3,15,is,is
1,2,3,16,justified,justified
1,2,3,17,in,in
1,2,3,18,resuming,resuming
1,2,3,19,it,it
1,2,3,20,or,or
1,2,3,21,there,there
1,2,3,22,was,was
1,2,3,23,no,no
1,2,3,24,justification,justification
1,2,3,25,for,for
1,2,3,26,those,those
1,2,3,27,who,who
1,2,3,28,took,took
